"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 17 01:39:27 ICT 2020","Thu Dec 17 01:39:31 ICT 2020","3694","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Thu Dec 17 01:37:36 ICT 2020","Thu Dec 17 01:37:42 ICT 2020","6074","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer5]",""
"passed","Thu Dec 17 01:39:41 ICT 2020","Thu Dec 17 01:39:45 ICT 2020","3572","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"skipped","Thu Dec 17 01:38:06 ICT 2020","Thu Dec 17 01:38:13 ICT 2020","6356","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer7]",""
"passed","Thu Dec 17 01:35:04 ICT 2020","Thu Dec 17 01:35:13 ICT 2020","8352","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer1]",""
"passed","Thu Dec 17 01:37:19 ICT 2020","Thu Dec 17 01:37:26 ICT 2020","7203","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer4]",""
"failed","Thu Dec 17 01:39:55 ICT 2020","Thu Dec 17 01:39:59 ICT 2020","3444","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Thu Dec 17 01:40:44 ICT 2020","Thu Dec 17 01:40:52 ICT 2020","7936","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"passed","Thu Dec 17 01:41:03 ICT 2020","Thu Dec 17 01:41:05 ICT 2020","2932","module_5","test_screenshots","","","","test_item_page_has_add_basket_button",""
"passed","Thu Dec 17 01:38:38 ICT 2020","Thu Dec 17 01:38:43 ICT 2020","4920","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer9]",""
"passed","Thu Dec 17 01:40:18 ICT 2020","Thu Dec 17 01:40:24 ICT 2020","6045","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Thu Dec 17 01:34:48 ICT 2020","Thu Dec 17 01:34:54 ICT 2020","6303","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer0]",""
"passed","Thu Dec 17 01:38:23 ICT 2020","Thu Dec 17 01:38:28 ICT 2020","5203","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer8]",""
"passed","Thu Dec 17 01:37:52 ICT 2020","Thu Dec 17 01:37:57 ICT 2020","4848","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer6]",""
"passed","Thu Dec 17 01:36:17 ICT 2020","Thu Dec 17 01:36:23 ICT 2020","6654","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer3]",""
"skipped","Thu Dec 17 01:39:08 ICT 2020","Thu Dec 17 01:39:16 ICT 2020","8008","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Thu Dec 17 01:34:22 ICT 2020","Thu Dec 17 01:34:24 ICT 2020","2869","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link",""
"passed","Thu Dec 17 01:35:24 ICT 2020","Thu Dec 17 01:35:32 ICT 2020","7958","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer2]",""
"passed","Thu Dec 17 01:38:52 ICT 2020","Thu Dec 17 01:38:59 ICT 2020","6633","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Thu Dec 17 01:34:02 ICT 2020","Thu Dec 17 01:34:12 ICT 2020","10385","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"failed","Thu Dec 17 01:34:34 ICT 2020","Thu Dec 17 01:34:37 ICT 2020","3178","module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
